1,,IET,IRETAMA,IET
2,,NPI,NOVA PRATA DO IGUACU,NPI
3,,STL,SALTO DO LONTRA,STL
4,,IRCL,IRATI,IRI
5,,PGSM,PONTA GROSSA,PGO
6,,APO,ARAPOTI,APO
7,,MLW,MISSAL,MLW
8,,TEB,TELEMACO BORBA,TEB
9,,RESE,RESERVA DO IGUACU,RESE
10,,RRV,RESERVA,RRV
11,,MGJV,MARINGA,MGA
12,,TOSC,TOLEDO,TOO
13,,GRE,GOIOERE,GRE
14,,PNIR,PINHAIS,PNIS
15,,CTJ1,CURITIBA,CTA
16,,CTME,CURITIBA,CTA
17,,CTOR,CURITIBA,CTA
18,,CTJE,CURITIBA,CTA
19,,SJAL,SAO JOSE DOS PINHAIS,SJP
20,,CKJP,CAMPINA GRANDE DO SUL,CKG
21,,SJIN,SAO JOSE DOS PINHAIS,SJP
22,,CTV1,CURITIBA,CTA
23,,CTCJ,CURITIBA,CTA
24,,CTIG,CURITIBA,CTA
25,,CTPI,CURITIBA,CTA
26,,CTJV,CURITIBA,CTA
27,,CTDA,CONTENDA,CTDA
28,,POT,PALOTINA,POT
29,,UMR,UMUARAMA,UMR
30,,AUN,ARARUNA,AUN
31,,CPPA,CORNELIO PROCOPIO,CPP
32,,PVAE,PARANAVAI,PVA
33,,RLA,ROLANDIA,RLA
34,,CACE,CAMBE,CAB
35,,APCL,ARAPONGAS,APS
36,,GIA,GUAIRA,GIA
37,,CMK,CONSELHEIRO MAIRINCK,CMK
38,,IBT,IBAITI,IBT
39,,LND,LOANDA,LND
40,,QNE,QUERENCIA DO NORTE,QNE
41,,NLD,NOVA LONDRINA,NLD
42,,TOO,TOLEDO,TOO
43,,ATCA,ALMIRANTE TAMANDARE,ATT
44,,PML,PALMITAL,PML
45,,MDG,MANDAGUARI,MDG
46,,SLI,SAO MIGUEL DO IGUACU,SLI
47,,CLG,CAMPO LARGO,CLG
48,,PUNM,PORTO UNIAO,PUN
49,,SSL,SAO MATEUS DO SUL,SSL
50,,BUU,BITURUNA,BUU
51,,MUH,MANGUEIRINHA,MUH
52,,DEO,DIAMANTE DOESTE,DEO
53,,MGJA,MARINGA,MGA
54,,CTCS,CURITIBA,CTA
55,,BQE,BRUSQUE,BQE
56,,APK,APIUNA,APK
57,,BELC,GASPAR,GPR
58,,PEU,PRESIDENTE GETULIO,PEU
59,,ALY,AGROLANDIA,ALY
60,,TAO,TAIO,TAO
61,,VRM,VIDAL RAMOS,VRM
62,,BPAT,ITAPOA,ITH
63,,BGC,BIGUACU,BGC
64,,PNAE,PARANAGUA,PNG
65,,PNBE,PARANAGUA,PNG
66,,JIV,JAGUARIAIVA,JIV
67,,RBL,RIO BRANCO DO SUL,RBL
68,,PGMT,PONTA GROSSA,PGO
69,,BON,BRACO DO NORTE,BON
70,,DJQM,BRUSQUE,BQE
71,,FNS,FLORIANOPOLIS,FNS
72,,MFU,MORRO DA FUMACA,MFU
73,,STFI,AGUAS MORNAS,AMY
74,,PLI,PALMITOS,PLI
75,,SEAT,SAO BENTO DO SUL,SBS
76,,MEVD,FLORIANOPOLIS,FNS
77,,BCU,BALNEARIO CAMBORIU,BCU
78,,TBEI,BALNEARIO CAMBORIU,BCU
79,,CSAA,SAO JOSE,SOO
80,,CRDR,FLORIANOPOLIS,FNS
81,,TIMB,JOINVILLE,JVE
82,,BV01,BARRA VELHA,BVH
83,,IANE,BLUMENAU,BNU
84,,ITPZ,BLUMENAU,BNU
85,,RPAT,JOINVILLE,JVE
86,,RRBC,GUARAMIRIM,GMM
87,,CNVS,FLORIANOPOLIS,FNS
88,,TRO,TUBARAO,TRO
89,,AQI,ARAQUARI,AQI
90,,AIIT,ITAJAI,IAI
91,,BRSU,BALNEARIO CAMBORIU,BCU
92,,CDA,CONCORDIA,CDA
93,,CORY,LAGES,LGS
94,,VII,VIDEIRA,VII
95,,INVR,FLORIANOPOLIS,FNS
96,,CTSA,JOINVILLE,JVE
97,,FLRT,JOINVILLE,JVE
98,,MOPS,FLORIANOPOLIS,FNS
99,,JVE,JOINVILLE,JVE
100,,CUA,CRICIUMA,CUA
101,,IAI,ITAJAI,IAI
102,,AMY,AGUAS MORNAS,AMY
103,,SIZ,SANTO AMARO DA IMPERATRIZ,SIZ
104,,FQUA,SAO JOSE,SOO
105,,ITGW,FLORIANOPOLIS,FNS
106,,AVTO,JOINVILLE,JVE
107,,SFS,SAO FRANCISCO DO SUL,SFS
108,,IATE,JOINVILLE,JVE
109,,ITUW,JOINVILLE,JVE
110,,MSB,MASSARANDUBA,MSB
111,,OXFD,SAO BENTO DO SUL,SBS
112,,PCX,PICARRAS,PCX
113,,RMTS,JOINVILLE,JVE
114,,ROD,RODEIO,ROD
115,,ROMT,INDAIAL,IDL
116,,SCHR,SCHROEDER,SCH
117,,VINX,JOINVILLE,JVE
118,,SNX,SAO LOURENCO DO OESTE,SNX
119,,MGRD,LAGUNA,LGA
120,,FGO,FRAIBURGO,FGO
121,,JDEL,PALHOCA,PAC
122,,CDR,CACADOR,CDR
123,,BNU,BLUMENAU,BNU
124,,A117,BLUMENAU,BNU
125,,BP04,BLUMENAU,BNU
126,,CALT,CAPAO ALTO,CALT
127,,I154,BLUMENAU,BNU
128,,IDL4,INDAIAL,IDL
129,,JGS,JARAGUA DO SUL,JGS
130,,LMOI,ITAJAI,IAI
131,,RIPW,LUIZ ALVES,LZV
132,,ST02,BRUSQUE,BQE
133,,TRDE,FLORIANOPOLIS,FNS
134,,UNLE,JOINVILLE,JVE
135,,BS1E,BALNEARIO CAMBORIU,BCU
136,,SESI,BLUMENAU,BNU
137,,IIR,IBIRAMA,IIR
138,,ROBT,JOINVILLE,JVE
139,,ROB2,JOINVILLE,JVE
140,,CENE,CERRO NEGRO,CENE
141,,PAFA,PALHOCA,PAC
142,,RIO,RIO DO OESTE,RIO
143,,EV02,SAO FRANCISCO DO SUL,SFS
144,,EVNO,SAO FRANCISCO DO SUL,SFS
145,,FL23,JOINVILLE,JVE
146,,FL88,JOINVILLE,JVE
147,,ATTO,POUSO REDONDO,PUO
148,,WUM,WITMARSUM,WUM
149,,SRHO,TUBARAO,TRO
150,,AG01,BLUMENAU,BNU
151,,ASCS,BRUSQUE,BQE
152,,BD11,BLUMENAU,BNU
153,,BENK,MASSARANDUBA,MSB
154,,CY43,LAGES,LGS
155,,FL37,JOINVILLE,JVE
156,,MRAB,BALNEARIO CAMBORIU,BCU
157,,RMT8,JOINVILLE,JVE
158,,CAIC,JARAGUA DO SUL,JGS
159,,CDIS,ITAJAI,IAI
160,,CBW,CAMBORIU,CBW
161,,IRIU,JOINVILLE,JVE
162,,AOC,AGRONOMICA,AOC
163,,ITPC,ARAQUARI,AQI
164,,LGA,LAGUNA,LGA
165,,BAOB,LAGUNA,LGA
166,,MR01,JOINVILLE,JVE
167,,VEHA,BLUMENAU,BNU
168,,IEA,ITAPEMA,IEA
169,,PDRO,PRAIA DO RINCAO,PDRO
170,,MPRA,ITAPEMA,IEA
171,,PRQE,PORTO BELO,PEL
172,,NOBM,NOVA DESCOBERTA,NOBM
173,,MRDA,SAO FRANCISCO DO SUL,SFS
174,,JFLS,JOINVILLE,JVE
175,,PEL,PORTO BELO,PEL
176,,ITP7,ITAJAI,IAI
177,,CDI1,ITAJAI,IAI
178,,SGCU,JOINVILLE,JVE
179,,ECLV,NAVEGANTES,NVG
180,,ILO,ILHOTA,ILO
181,,IVCC,BLUMENAU,BNU
182,,ANGD,JOINVILLE,JVE
183,,BSVI,ITAJAI,IAI
184,,ECAL,MORRO DA FUMACA,MFU
185,,ILHO,ITAPEMA,IEA
186,,CEAL,BRUSQUE,BQE
187,,PHIO,CRICIUMA,CUA
188,,IDL,INDAIAL,IDL
189,,AOSA,BALNEARIO ARROIO DO SILVA,AOSA
190,,PPHA,PALHOCA,PAC
191,,ENSA,SAO FRANCISCO DO SUL,SFS
192,,SWLA,JARAGUA DO SUL,JGS
193,,AIRU,PALHOCA,PAC
194,,COCL,COCAL DO SUL,COCL
195,,TVO,TURVO,TVO
196,,BOVT,BLUMENAU,BNU
197,,JIPG,BIGUACU,BGC
198,,DAFA,JOINVILLE,JVE
199,,EPNS,JOINVILLE,JVE
200,,GLOR,JOINVILLE,JVE
201,,GRAT,NAVEGANTES,NVG
202,,IIG4,JOINVILLE,JVE
203,,ITSC,BLUMENAU,BNU
204,,STRE,ITAJAI,IAI
205,,SECE,BRUSQUE,BQE
206,,KARS,BLUMENAU,BNU
207,,JOCK,SAO FRANCISCO DO SUL,SFS
208,,IMU,IMBUIA,IMU
209,,LZV,LUIZ ALVES,LZV
210,,PODF,ARAQUARI,AQI
211,,POD,POMERODE,POD
212,,MFIS,BLUMENAU,BNU
213,,MCHS,NAVEGANTES,NVG
214,,NILA,BRUSQUE,BQE
215,,LGBH,GUABIRUBA,GBR
216,,SECW,BARRA VELHA,BVH
217,,OLS,ORLEANS,OLS
218,,SOMC,JOINVILLE,JVE
219,,VAIA,BLUMENAU,BNU
220,,SNLD,NAVEGANTES,NVG
221,,BQ48,BRUSQUE,BQE
222,,CNZ,CAPINZAL,CNZ
223,,PSPR,CRICIUMA,CUA
224,,NVG,NAVEGANTES,NVG
225,,IUP,ITUPORANGA,IUP
226,,CBK,CAMPO BELO DO SUL,CBK
227,,ARMC,FLORIANOPOLIS,FNS
228,,ETDA,JOINVILLE,JVE
229,,PAIE,PAINEL,PAIE
230,,BBCZ,ITAPEMA,IEA
231,,CNGD,BOMBINHAS,BOMB
232,,SIE,SIDEROPOLIS,SIE
233,,RIMI,RIO MAINA,RIMI
234,,LOS,LONTRAS,LOS
235,,BOR,BOM JARDIM DA SERRA,BOR
236,,BVR1,JARAGUA DO SUL,JGS
237,,BVH,BARRA VELHA,BVH
238,,GP28,GASPAR,GPR
239,,BAR4,GASPAR,GPR
240,,PAGT,BARRA VELHA,BVH
241,,ASCX,BRUSQUE,BQE
242,,AGD,ANITA GARIBALDI,AGD
243,,VDHO,CRICIUMA,CUA
244,,SJQ,SAO JOAQUIM,SJQ
245,,TOCL,POMERODE,POD
